srcid, dstid, srcname, dstname
1220005924410015744,1052339653,Hasank12716313,siregar_najeges
1216698312176197632,1387838579435458565,yugo79pati,tukangrosok___
1220005924410015744,2558197662,Hasank12716313,patriot016610
1219933015855382529,1502537587407294464,dabenone2,Sekber_AniesId
1450108398645645313,154435354,Poy_Poy12,ch_chotimah2
1518975629970276352,2558197662,Ardji20,patriot016610
3037677768,2558197662,rudimulawarman_,patriot016610
1350814257349238788,2558197662,FatihKa20913774,patriot016610
963271221273026560,2558197662,adedian36,patriot016610
4015162032,2558197662,AditiyaP25269,patriot016610
1165240662905606144,2558197662,pulu_yan,patriot016610
1165240662905606144,2558197662,pulu_yan,patriot016610
4015162032,2558197662,AditiyaP25269,patriot016610
470029955,964118629657722880,abak_zawil,SianglaparTogar
1482553226218319876,1502822366946402304,syifa_indrat,DokterTifa
1534922171583442944,2558197662,Acakoca1,patriot016610
1243076846515662848,1379546070783430661,Nailazaara__,DM_N4BYL
1005317954269949952,2558197662,adijogedjogja,patriot016610
30766806,2558197662,Reiza_Patters,patriot016610
1165240662905606144,2558197662,pulu_yan,patriot016610
1243076846515662848,1556284464505823232,Nailazaara__,adiastaraya
1165240662905606144,2558197662,pulu_yan,patriot016610
1462089098437427206,2558197662,AsrarulHayat1,patriot016610
1243076846515662848,1004194399,Nailazaara__,Bella_beneamata
1199772596,2558197662,sumadiseloguno,patriot016610
805231018319826944,2558197662,irinbolin,patriot016610
1380421455523979269,2558197662,galery_rds,patriot016610
1374638665700319232,1457907849888026624,UtangJpu,akunkeenam212
3181492020,1502537587407294464,yenniaryani410,Sekber_AniesId
1243076846515662848,1310491734086877184,Nailazaara__,riyadisugeng167
1157846574107545600,1002326672882847744,AstutyCici,TolakBigotRI_
3356823973,1387838579435458565,Gawink159160,tukangrosok___
1054344844770861056,1249352392954368001,hawe75,denni_sauya
1131512363356581888,154435354,ASesaryo,ch_chotimah2
1462089098437427206,1502537587407294464,AsrarulHayat1,Sekber_AniesId
1480179817827868672,1387838579435458565,rozykaspu2,tukangrosok___
1635673424,2558197662,raihans47471215,patriot016610
142945130,2558197662,cahy4nto,patriot016610
1115452051331280896,2558197662,Fathur4521,patriot016610
2669430458,1078570522038788097,Jelli_cent,jr_kw20
1098189192813674496,2558197662,ALGOZ20,patriot016610
243514145,1387838579435458565,BobbyPoerwana,tukangrosok___
1563520525225234435,2558197662,Umbara_04,patriot016610
2292231362,69183155,endangs119,detikcom
1237012707481550848,1049488491178995712,Lima8Satu,parwatyRizky
1392912791309225986,2558197662,hero_theone,patriot016610
1573677362851745794,1502537587407294464,AgusPan49950683,Sekber_AniesId
