id,name
1392912791309225986,hero_theone
2558197662,patriot016610
1037711384753004545,RujackX
1052339653,siregar_najeges
1372465045192384516,MarkEsso8
1556284464505823232,adiastaraya
1580154894140395520,EBalakaciut
107516754,iwaniswan
1417199568081473549,UmarNegara
1379863429,CHaendrajit
1106561312459350016,Suroso60592134
768768865631297536,rizal_1966
1336114096358375424,AmirGrage
1379546070783430661,DM_N4BYL
111869546,Eka_Dutajaladri
984321014724096001,PRABU_KLITI
4184979312,AntoniusCDN
1419906494946967554,axcellianto_29
1380421455523979269,galery_rds
236244328,KsatriaRasydan
1418639065004449794,MGhufro38074283
373705577,suryobumi
1136872958,bie_menk
2642027574,edihermanto1234
918675172353220608,baim_loebis
1502537587407294464,Sekber_AniesId
734581046595977216,trenmartcom
435004096,Aryprasetyo85
963271221273026560,adedian36
403906983,arm_eff
1504963742831767552,MasRahmad121
1511949713238786049,Omar37465681
69183155,detikcom
1863161028,bakulswikee
1185767973111263233,Relawananies
410416517,Soekarnoist
1022206613564796928,jauhar_fikri
169902541,dpwpkbjatim_
1337026329879793666,baliandra2
1567483663545438209,PutunMy
1260531598383972352,winsandiii
1310491734086877184,riyadisugeng167
3159578293,fazamutaqi0210
1495612577703170048,gelmbel9018
1387838579435458565,tukangrosok___
1065725453623652352,Tauhid_SHA
1573202523879448576,ridwan251311
839817438241808384,heintje_han
747772552139804672,HiSony1
1571466725895573504,ikotjo22
1393035831166730244,Sutarno90739398
862915014683893760,FahiraAbu
1464941164704894979,WargaSipilBaik
1109632952445460481,Muadz38588306
1541191938,sukabumiazam
1035758255530696704,ByuCyd
1260061504767836162,Dharma_tc
1161962540919709697,AChamplads
1136153008968937473,Ridwan107111
1566419111617634304,AbirKha48004552
1269648152908296192,Donaymokoginta
1340668721786843136,Soulfl1
1488654744419979264,LaJaya75536516
1582628026231115777,Ibrahim72982761
1084725862811852800,mohbunyan
1456283686312103939,Yurissa_Samosir
34579926,pasadenasl
66583794,rizayana
1338379570446098432,Dody03180922
1025385978280570882,TaufikH39409861
1523740039716679682,MariahQibtiah13
879295432895025154,amfas2020
1446489145950367745,cahaya08nkri78
4519693453,anugrahusman9
2683390502,KuncoroJati1234
1091373501754163200,NdolixC
1394662022910922761,Mahmud35233344
1163831645578776576,IZZYPANPORA1
1247097802938712064,AbdHali59646742
884688698272501760,GerBangNKRI
1570075217820782593,Kaki_Langith
2758805515,ircham_syah
506059176,Urrangawak
1501017661152821249,abelathallah005
2522886655,Hidup_Toleransi
1348674492453687302,miss_gondz
2866140311,MahaBhisma
1275772337187504128,Swarnad71915084
30766806,Reiza_Patters
306615832,pejuangnkri77
1205230442,TrioMacari2000
1266386436049289216,MuhiqR
1430865045466927108,zenold_AntiJoko
853847829692825600,BeniSatria18
2999581296,supriadimit
1598000667804971008,Carlo_Ly1
4645125733,andrian079
1338204413031170048,DwiWahy10834933
561833630,mwildhan
257814187,hadifinance
575025527,PanglimaZufarW
29624783,motoupdate
1590317326259585030,syuhada_abdu
1313302763472781313,cilokbledex
1266008773472088064,jose_asep
849618822709379076,Retnowonosari
1451951851637657601,kadori_mohamad
1424051774063726592,R0ynoel
154435354,ch_chotimah2
1500498224921989123,SalimLaw1
1349674649936777217,mokit_aja
1578657305901830146,Sampeong2
1325448613305085960,al_lasan
1005669152,nugrazee
1100047282731245568,HRMalik12
1395030121849913346,eRS_AREMA021
1220005924410015744,Hasank12716313
1216698312176197632,yugo79pati
1219933015855382529,dabenone2
